,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
564,2020-11-19,147.3000031,147.4600067,145.5899963,147.1399994,138.8835754,7987700,7987700,-8.41643,-5.714,143.97786,"November 19, 20",-0.05714
565,2020-11-18,148.8699951,149.7599945,147.3699951,147.3699951,139.1006622,6661000,6661000,-9.76933,-6.562,145.41022,"November 18, 20",-0.06562
566,2020-11-17,150.0,150.6300049,149.1199951,149.3500061,140.969574,7297700,7297700,-9.03043,-6.02,146.90652,"November 17, 20",-0.0602
567,2020-11-16,150.9199982,151.3000031,149.8000031,150.8500061,142.3854065,6266400,6266400,-8.53459,-5.655,147.82847,"November 16, 20",-0.05655
568,2020-11-13,149.0899963,150.4100037,148.4100037,149.8999939,141.4886932,5893500,5893500,-7.6013,-5.098,146.76957,"November 13, 20",-0.05098
569,2020-11-12,147.6100006,148.6499939,146.75,148.3000031,139.9785156,4710300,4710300,-7.63148,-5.17,145.12617,"November 12, 20",-0.0517
570,2020-11-11,149.1699982,149.1999969,146.8600006,147.8000031,139.506546,6382400,6382400,-9.66345,-6.478,145.18885,"November 11, 20",-0.06478
571,2020-11-10,147.25,148.75,146.2599945,148.2799988,139.9596252,7386500,7386500,-7.29037,-4.951,144.98987,"November 10, 20",-0.04951
572,2020-11-09,148.4299927,148.9900055,144.9199982,146.0800018,137.8830566,12351600,12351600,-10.54694,-7.106,143.93102,"November 09, 20",-0.07106
573,2020-11-06,140.3999939,143.1900024,139.6499939,142.25,134.2679749,5942500,5942500,-6.13202,-4.368,139.03599,"November 06, 20",-0.04368
574,2020-11-05,140.5500031,141.8300018,139.2599945,139.7599945,131.9176636,8016200,8016200,-8.63234,-6.142,137.66922,"November 05, 20",-0.06142
575,2020-11-04,139.4900055,142.5399933,138.6999969,139.3999939,131.5778809,10263500,10263500,-7.91212,-5.672,137.60596,"November 04, 20",-0.05672
576,2020-11-03,140.0200043,140.9600067,137.7799988,138.5,130.7284088,6363000,6363000,-9.2916,-6.636,136.48947,"November 03, 20",-0.06636
577,2020-11-02,138.9799957,139.0099945,137.4900055,138.6900024,130.9077301,7088000,7088000,-8.07227,-5.808,135.80258,"November 02, 20",-0.05808
578,2020-10-30,136.6799927,137.5399933,133.6499939,137.1100006,129.4163818,7364100,7364100,-7.26361,-5.314,133.53546,"October 30, 20",-0.05314
579,2020-10-29,138.0,138.6999969,136.0500031,137.1900024,129.4918823,7205400,7205400,-8.50812,-6.165,134.74729,"October 29, 20",-0.06165
580,2020-10-28,141.4299927,141.9799957,138.1799927,138.3600006,130.5962524,8426100,8426100,-10.83374,-7.66,136.91875,"October 28, 20",-0.0766
581,2020-10-27,143.7400055,144.2899933,142.9199982,143.1499939,135.1174469,4890100,4890100,-8.62256,-5.999,140.77581,"October 27, 20",-0.05999
582,2020-10-26,144.4299927,144.7700043,142.75,143.9700012,135.8914642,6929500,6929500,-8.53853,-5.912,141.13716,"October 26, 20",-0.05912
583,2020-10-23,145.8800049,147.4700012,144.3500061,145.2400055,137.0901794,4154400,4154400,-8.78983,-6.025,142.97006,"October 23, 20",-0.06025
584,2020-10-22,144.1600037,145.6900024,143.8399963,145.0800018,136.9391479,5279700,5279700,-7.22086,-5.009,142.15638,"October 22, 20",-0.05009
585,2020-10-21,144.1199951,145.3399963,143.9100037,143.9299927,135.853714,5221300,5221300,-8.26628,-5.736,141.70124,"October 21, 20",-0.05736
586,2020-10-20,144.6600037,145.75,144.1199951,144.5500031,136.4389038,5325400,5325400,-8.2211,-5.683,142.10297,"October 20, 20",-0.05683
587,2020-10-19,148.5299988,148.8999939,144.1300049,144.3200073,136.2218018,7250800,7250800,-12.3082,-8.287,143.08393,"October 19, 20",-0.08287
588,2020-10-16,147.6000061,148.7599945,147.0099945,148.1000061,139.7897034,6097000,6097000,-7.8103,-5.292,145.18656,"October 16, 20",-0.05292
589,2020-10-15,147.4799957,147.8999939,146.3300018,147.1900024,138.9307709,5978600,5978600,-8.54922,-5.797,144.38692,"October 15, 20",-0.05797
590,2020-10-14,148.8200073,149.0299988,147.3899994,148.1000061,139.7897034,7706400,7706400,-9.0303,-6.068,145.40323,"October 14, 20",-0.06068
591,2020-10-13,149.0,150.1199951,147.7700043,148.3600006,140.0351257,11057600,11057600,-8.96487,-6.017,145.97504,"October 13, 20",-0.06017
592,2020-10-12,151.6000061,153.1399994,151.0200043,151.8399963,143.3198547,7273200,7273200,-8.28015,-5.462,149.15995,"October 12, 20",-0.05462
593,2020-10-09,149.6499939,151.4799957,149.4499969,150.9700012,142.4986572,5054100,5054100,-7.15134,-4.779,147.80955,"October 09, 20",-0.04779
594,2020-10-08,148.5,149.8500061,148.0399933,148.8899994,140.5353851,4413500,4413500,-7.96461,-5.363,146.14179,"October 08, 20",-0.05363
595,2020-10-07,146.4900055,148.2299957,145.8099976,147.8800049,139.5820465,5603100,5603100,-6.90796,-4.716,144.54068,"October 07, 20",-0.04716
596,2020-10-06,148.2799988,148.6100006,145.8699951,146.2599945,138.0529633,5118200,5118200,-10.22704,-6.897,144.17765,"October 06, 20",-0.06897
597,2020-10-05,147.0,148.3800049,146.4199982,148.2299957,139.9124451,4992800,4992800,-7.08755,-4.821,144.90415,"October 05, 20",-0.04821
598,2020-10-02,146.2100067,148.4100037,145.8300018,146.2400055,138.0340881,5485600,5485600,-8.17592,-5.592,144.09136,"October 02, 20",-0.05592
599,2020-10-01,149.3099976,149.6499939,146.4600067,147.3200073,139.0534973,6457800,6457800,-10.2565,-6.869,145.0545,"October 01, 20",-0.06869
600,2020-09-30,147.4499969,149.7299957,146.8399963,148.8800049,140.5259552,8487700,8487700,-6.92404,-4.696,145.69865,"September 30, 20",-0.04696
601,2020-09-29,147.6000061,147.9199982,146.0599976,147.0599976,138.808075,6768600,6768600,-8.79193,-5.957,144.26269,"September 29, 20",-0.05957
602,2020-09-28,146.7299957,148.2899933,146.4199982,147.1100006,138.8552399,5843200,5843200,-7.87476,-5.367,144.52174,"September 28, 20",-0.05367
603,2020-09-25,144.0,146.25,143.8899994,145.6600037,137.4866486,5531200,5531200,-6.51335,-4.523,142.54222,"September 25, 20",-0.04523
604,2020-09-24,144.5599976,145.25,143.3399963,144.6699982,136.5521851,5614800,5614800,-8.00781,-5.539,141.71406,"September 24, 20",-0.05539
605,2020-09-23,147.4799957,147.5500031,144.3800049,144.4400024,136.335083,8784400,8784400,-11.14491,-7.557,142.75503,"September 23, 20",-0.07557
606,2020-09-22,144.6900024,145.3500061,143.7200012,144.2100067,136.1179962,5295900,5295900,-8.57201,-5.924,141.72933,"September 22, 20",-0.05924
607,2020-09-21,147.5800018,147.9299927,142.9600067,145.1000061,136.9580536,7574500,7574500,-10.62195,-7.197,142.61602,"September 21, 20",-0.07197
608,2020-09-18,146.5099945,149.6499939,146.1999969,149.1799927,140.8090973,12174000,12174000,-5.7009,-3.891,145.55303,"September 18, 20",-0.03891
609,2020-09-17,148.0399933,148.6300049,146.0500031,147.1699982,138.9118958,5461400,5461400,-9.1281,-6.166,144.53063,"September 17, 20",-0.06166
610,2020-09-16,149.3899994,150.0599976,148.3500061,148.3999939,140.0728607,4323000,4323000,-9.31714,-6.237,146.16095,"September 16, 20",-0.06237
611,2020-09-15,149.4499969,150.5899963,148.5200043,148.8899994,140.5353851,3658800,3658800,-8.91461,-5.965,146.54846,"September 15, 20",-0.05965
612,2020-09-14,148.1199951,149.4700012,148.0099945,148.3500061,140.0256653,4375800,4375800,-8.09433,-5.465,145.83522,"September 14, 20",-0.05465
613,2020-09-11,147.0500031,148.5299988,146.6300049,147.7799988,139.4876709,3934700,3934700,-7.56233,-5.143,144.88256,"September 11, 20",-0.05143
614,2020-09-10,149.25,149.7799988,146.5200043,146.9100037,138.6664581,6191800,6191800,-10.58354,-7.091,144.98882,"September 10, 20",-0.07091
615,2020-09-09,148.1499939,151.1000061,148.1199951,149.6999969,141.2999268,6960700,6960700,-6.85007,-4.624,146.83998,"September 09, 20",-0.04624
616,2020-09-08,150.25,150.8899994,146.8999939,147.2599945,138.9968414,8756800,8756800,-11.25316,-7.49,145.59561,"September 08, 20",-0.0749
617,2020-09-04,150.1699982,150.9499969,147.1300049,148.5899963,140.2522125,7200100,7200100,-9.91779,-6.604,146.11074,"September 04, 20",-0.06604
618,2020-09-03,154.8300018,155.4700012,148.3000031,149.5500031,141.1583557,8672800,8672800,-13.67165,-8.83,148.30945,"September 03, 20",-0.0883
619,2020-09-02,150.7899933,154.3300018,149.25,153.8300018,145.1981812,6881900,6881900,-5.59181,-3.708,149.59273,"September 02, 20",-0.03708
620,2020-09-01,153.8699951,154.0800018,150.0700073,151.5200043,143.017807,6307700,6307700,-10.85219,-7.053,149.05594,"September 01, 20",-0.07053
